rank,stadium,capacity,region,country,city,images,home_team,location
1,Rungrado,114000,East,North,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arirang_Mass_Games_12.JPG/150px-Arirang_Mass_Games_12.JPG,Korea,"[None, None]"
2,Michigan,107601,North,United,Ann,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Real_Madrid_vs._Machester_United_August_2nd%2C_2014.jpg/150px-Real_Madrid_vs._Machester_United_August_2nd%2C_2014.jpg,Michigan,"[None, None]"
3,Ohio,102780,North,United,"Columbus,",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Panoramic_view_of_Ohio_Stadium.jpg/150px-Panoramic_view_of_Ohio_Stadium.jpg,Ohio,"[41.641746, -83.6270601]"
4,Melbourne,100024,Oceania,Australia,"Melbourne,",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/MCG_Panorama_24_July_2015.jpg/150px-MCG_Panorama_24_July_2015.jpg,Australia,"[-37.8142454, 144.9631732]"
5,Camp,99354,Europe,Spain,"Barcelona,",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg/150px-Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg,FC,"[41.1763244, 0.1703142]"
6,Estadio,95500,North,Mexico,Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Panor%C3%A1mica_esquina_noreste.jpg/150px-Panor%C3%A1mica_esquina_noreste.jpg,Club,"[23.2370816, -106.4321392]"
7,FNB,94736,Africa,South,"Johannesburg,",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg/150px-First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg,South,"[-29.8583657, 31.0385196]"
8,New,93940,Africa,Egypt,New,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/The_New_administrative_stadium_of_Egypt.jpg/150px-The_New_administrative_stadium_of_Egypt.jpg,Egypt,"[29.31604865, 30.5670783679]"
9,Rose,92800,North,United,"Pasadena,",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Rose_Bowl%2C_panorama.jpg/150px-Rose_Bowl%2C_panorama.jpg,UCLA,"[13.4801613, -88.1753400217]"
10,Cotton,92100,North,United,"Dallas,",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/150px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,Text esta vazio,"[17.7577327, -64.57887]"
11,Wembley,90000,Europe,England,"London,",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Post_L2_Play-Off_Final.jpg/150px-Post_L2_Play-Off_Final.jpg,England,"[51.55606945, -0.2796033938]"
